TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
723253|Calonectris edwardsii|(Oustalet, 1883)|Species        |Reviewed|valid||
203449|Calonectris leucomelas|(Temminck, 1836)|Species        |Reviewed|valid||
625026|Camelus bactrianus|Linnaeus, 1758|Species        |Reviewed|valid||
625027|Camelus dromedarius|Linnaeus, 1758|Species        |Reviewed|valid||
98675|Cancer magister|Dana, 1852|Species        |Reviewed|valid||
180596|Canis lupus|Linnaeus, 1758|Species        |Reviewed|valid||
183817|Canis aureus|Linnaeus, 1758|Species        |Reviewed|valid||
180599|Canis latrans|Say, 1823|Species        |Reviewed|valid||
180596|Canis lupus|Linnaeus, 1758|Species        |Reviewed|valid||
726820|Canis lupus dingo|Meyer, 1793|Subspecies     |Reviewed|valid||
183818|Canis mesomelas|Schreber, 1775|Species        |Reviewed|valid||
180600|Canis rufus|Audubon and Bachman, 1851|Species        |Reviewed|invalid|726841|Canis lupus rufus
898264|Capra aegagrus|Erxleben, 1777|Species        |Reviewed|invalid|898774|Capra hircus aegagrus
|Capra aegagrus hircus|||||
625139|Capra ibex|Linnaeus, 1758|Species        |Reviewed|valid||
625063|Capreolus capreolus|(Linnaeus, 1758)|Species        |Reviewed|valid||
555569|Caprimulgus europaeus|Linnaeus, 1758|Species        |Reviewed|valid||
552775|Caracal caracal|(Schreber, 1776)|Species        |Reviewed|valid||
160354|Carcharhinus albimarginatus|(Rüppell, 1837)|Species        |Reviewed|valid||
160358|Carcharhinus amblyrhynchos|(Bleeker, 1856)|Species        |Reviewed|valid||
160310|Carcharhinus falciformis|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160345|Carcharhinus galapagensis|(Snodgrass and Heller, 1905)|Species        |Reviewed|valid||
160275|Carcharhinus leucas|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160318|Carcharhinus limbatus|(Müller and Henle, 1839)|Species        |Reviewed|valid||
160330|Carcharhinus longimanus|(Poey, 1861)|Species        |Reviewed|valid||
160365|Carcharhinus melanopterus|(Quoy and Gaimard, 1824)|Species        |Reviewed|valid||
160268|Carcharhinus obscurus|(Lesueur, 1818)|Species        |Reviewed|valid||
649702|Carcharhinus perezi|(Poey, 1876)|Species        |Reviewed|invalid|160336|Carcharhinus perezii
160289|Carcharhinus plumbeus|(Nardo, 1827)|Species        |Reviewed|valid||
159879|Carcharias taurus|Rafinesque, 1810|Species        |Reviewed|invalid|159888|Carcharias taurus
159888|Carcharias taurus|Rafinesque, 1810|Species        |Reviewed|valid||
159903|Carcharodon carcharias|(Linnaeus, 1758)|Species        |Reviewed|valid||
173830|Caretta caretta|(Linnaeus, 1758)|Species        |Reviewed|valid||
173830|Caretta caretta|(Linnaeus, 1758)|Species        |Reviewed|valid||
180212|Castor canadensis|Kuhl, 1820|Species        |Reviewed|valid||
573165|Castor fiber|Linnaeus, 1758|Species        |Reviewed|valid||
175265|Cathartes aura|(Linnaeus, 1758)|Species        |Reviewed|valid||
572977|Cebus capucinus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175855|Centrocercus urophasianus|(Bonaparte, 1827)|Species        |Reviewed|valid||
554465|Ceratogymna atrata|(Temminck, 1835)|Species        |Reviewed|valid||
898259|Cervus canadensis|Erxleben, 1777|Species        |Reviewed|invalid|898519|Cervus elaphus canadensis
180695|Cervus elaphus|Linnaeus, 1758|Species        |Reviewed|valid||
|Cervus elephas|||||
159907|Cetorhinus maximus|(Gunnerus, 1765)|Species        |Reviewed|valid||
178001|Chaetura pelagica|(Linnaeus, 1758)|Species        |Reviewed|valid||
176522|Charadrius montanus|J. K. Townsend, 1837|Species        |Reviewed|valid||
173833|Chelonia mydas|(Linnaeus, 1758)|Species        |Reviewed|valid||
944217|Chlorocebus pygerythrus|(F. Cuvier, 1821)|Species        |Reviewed|valid||
51653|Chrysaora hysoscella|(Linnaeus, 1766)|Species        |Not Reviewed|valid||
183827|Chrysocyon brachyurus|(Illiger, 1815)|Species        |Reviewed|valid||
559260|Ciconia boyciana|Swinhoe, 1873|Species        |Reviewed|valid||
174907|Ciconia ciconia|(Linnaeus, 1758)|Species        |Reviewed|valid||
559297|Circus aeruginosus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175439|Circus pygargus|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Clanga pomarina|||||
175147|Clangula hyemalis|(Linnaeus, 1758)|Species        |Reviewed|valid||
177103|Columba palumbus|Linnaeus, 1758|Species        |Reviewed|valid||
625079|Connochaetes taurinus|(Burchell, 1823)|Species        |Reviewed|valid||
1056065|Conolophus marthae|Gentile and Snell, 2009|Species        |Reviewed|valid||
554518|Coracias garrulus|Linnaeus, 1758|Species        |Reviewed|valid||
168791|Coryphaena hippurus|Linnaeus, 1758|Species        |Reviewed|valid||
559539|Cossypha natalensis|A. Smith, 1840|Species        |Reviewed|valid||
202200|Crocodylus niloticus|Laurenti, 1768|Species        |Reviewed|valid||
174364|Crocodylus porosus|Schneider, 1801|Species        |Reviewed|valid||
621907|Crocuta crocuta|(Erxleben, 1777)|Species        |Reviewed|valid||
621907|Crocuta crocuta|(Erxleben, 1777)|Species        |Reviewed|valid||
174310|Crotalus atrox|Baird and Girard, 1853|Species        |Reviewed|valid||
177822|Cuculus canorus|Linnaeus, 1758|Species        |Reviewed|valid||
183831|Cuon alpinus|(Pallas, 1811)|Species        |Reviewed|valid||
174987|Cygnus columbianus|(Ord, 1815)|Species        |Reviewed|valid||
|Cygnus cygnoides|||||
174990|Cygnus cygnus|(Linnaeus, 1758)|Species        |Reviewed|valid||
174985|Cygnus olor|(J. F. Gmelin, 1789)|Species        |Reviewed|valid||
|Dasyatis luviorum|||||
552609|Dasyurus maculatus|(Kerr, 1792)|Species        |Reviewed|valid||
180483|Delphinapterus leucas|(Pallas, 1776)|Species        |Reviewed|valid||
180438|Delphinus delphis|Linnaeus, 1758|Species        |Reviewed|valid||
173843|Dermochelys coriacea|(Vandelli, 1761)|Species        |Reviewed|valid||
631886|Desmodus rotundus|(E. Geoffroy, 1810)|Species        |Reviewed|valid||
625003|Diceros bicornis|(Linnaeus, 1758)|Species        |Reviewed|valid||
174525|Diomedea exulans|Linnaeus, 1758|Species        |Reviewed|valid||
564126|Dipturus batis|(Linnaeus, 1758)|Species        |Reviewed|valid||
|Dipturus intermedius|||||
180679|Dugong dugon|(Müller, 1776)|Species        |Reviewed|valid||
160716|Echinorhinus cookei|Pietschmann, 1928|Species        |Reviewed|valid||
625053|Elaphurus davidianus|Milne-Edwards, 1866|Species        |Reviewed|valid||
584938|Elephas maximus|Linnaeus, 1758|Species        |Reviewed|valid||
|Elephas maximus borneensis|||||
727610|Elephas maximus sumatranus|Temminck, 1847|Subspecies     |Reviewed|valid||
180547|Enhydra lutris|(Linnaeus, 1758)|Species        |Reviewed|valid||
551078|Epinephelus marginatus|(Lowe, 1834)|Species        |Reviewed|valid||
180008|Eptesicus fuscus|(Palisot de Beauvois, 1796)|Species        |Reviewed|valid||
926145|Equus burchelli|(Gray, 1824)|Species        |Reviewed|invalid|926246|Equus quagga burchellii
|Equus burchelli antiquorum|||||
624992|Equus burchellii|(Gray, 1824)|Species        |Reviewed|invalid|926246|Equus quagga burchellii
926143|Equus ferus|Boddaert, 1785|Species        |Reviewed|valid||
624993|Equus hemionus|Pallas, 1775|Species        |Reviewed|valid||
926176|Equus hemionus hemionus|Pallas, 1775|Subspecies     |Reviewed|valid||
624996|Equus quagga|Boddaert, 1785|Species        |Reviewed|valid||
173836|Eretmochelys imbricata|(Linnaeus, 1766)|Species        |Reviewed|valid||
180655|Erignathus barbatus|(Erxleben, 1777)|Species        |Reviewed|valid||
633540|Erinaceus europaeus|Linnaeus, 1758|Species        |Reviewed|valid||
180521|Eschrichtius robustus|(Lilljeborg, 1861)|Species        |Reviewed|valid||
162139|Esox lucius|Linnaeus, 1758|Species        |Reviewed|valid||
180537|Eubalaena glacialis|(Müller, 1776)|Species        |Reviewed|valid||
174452|Eudyptes chrysolophus|(Brandt, 1837)|Species        |Reviewed|valid||
174460|Eudyptula minor|(J. R. Forster, 1781)|Species        |Reviewed|valid||
180625|Eumetopias jubatus|(Schreber, 1776)|Species        |Reviewed|valid||
179091|Euphagus carolinus|(Statius Muller, 1776)|Species        |Reviewed|valid||
624903|Euphractus sexcinctus|(Linnaeus, 1758)|Species        |Reviewed|valid||
175633|Falco cherrug|J. E. Gray, 1834|Species        |Reviewed|valid||
175639|Falco eleonorae|Géné, 1839|Species        |Reviewed|valid||
175604|Falco peregrinus|Tunstall, 1771|Species        |Reviewed|valid||
175654|Falco subbuteo|Linnaeus, 1758|Species        |Reviewed|valid||
175656|Falco vespertinus|Linnaeus, 1766|Species        |Reviewed|valid||
180589|Felis silvestris|Schreber, 1777|Species        |Reviewed|valid||
177025|Fratercula arctica|(Linnaeus, 1758)|Species        |Reviewed|valid||
174766|Fregata minor|(Gmelin, 1789)|Species        |Reviewed|valid||
